STATE_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE,COST_PER_KM,COMPLETION_RATE_ROAD,COMPLETION_RATE_BRIDGES,EXPENDITURE_PER_KM
Andaman And Nicobar,PMGSY-I,3,2.969,0,1.3857,3,2.969,0,1.1082,0,0.0,0,0.46672280229033347,1.0,0.0,0.3732569888851466
Andaman And Nicobar,PMGSY-I,32,60.169,0,24.6908,32,59.19,0,18.5754,0,0.0,0,0.41035749306121094,0.9837291628579501,0.0,0.31382665990876835
Andaman And Nicobar,PMGSY-II,24,54.67,0,27.7646,0,0.0,0,0.0,24,54.67,0,0.5078580574355223,0.0,0.0,0.0
Andaman And Nicobar,PMGSY-I,32,40.146,0,18.5375,31,39.287,0,11.6894,1,0.541,0,0.46175210481741646,0.9786030986897822,0.0,0.2975386260086033
Andaman And Nicobar,PMGSY-II,24,41.992,0,23.42439,7,17.747,0,8.6343,17,24.033,0,0.5578298247285197,0.42262811964183655,0.0,0.4865216656336282
Andhra Pradesh,PMGSY-I,619,2169.505,35,526.1277,619,2126.386,34,517.912,0,0.0,1,0.2425104805013125,0.980124959380135,0.9714285714285714,0.24356443279818435
Andhra Pradesh,PMGSY-II,14,125.7,0,56.0711,14,124.619,0,49.0126,0,0.0,0,0.4460708035003978,0.9914001591089896,0.0,0.3932995771110344
Andhra Pradesh,PMGSY-III,27,267.158,8,180.52038,24,234.902,0,111.5182,3,23.2,8,0.6757064358918692,0.8792624589194409,0.0,0.47474351005951415
Andhra Pradesh,PMGSY-I,283,889.681,6,188.3558,283,878.711,6,185.1493,0,0.0,0,0.2117116134884301,0.9876697378048985,1.0,0.21070556758706788
Andhra Pradesh,PMGSY-II,18,126.045,0,57.9668,18,121.403,0,46.136,0,0.0,0,0.4598897219247094,0.9631718830576381,0.0,0.3800235579021935
Andhra Pradesh,PMGSY-III,84,629.581,8,421.61578,68,476.394,0,193.0005,16,139.86,8,0.6696767850363972,0.7566842074331976,0.0,0.40512789833625107
Andhra Pradesh,PMGSY-I,502,1402.046,20,341.4412,500,1308.782,17,322.73,2,13.7,3,0.24353066875123924,0.9334800712672765,0.85,0.24658804904101678
Andhra Pradesh,PMGSY-II,18,123.049,0,61.7925,18,116.296,0,49.7726,0,0.0,0,0.5021779941324187,0.945119423969313,0.0,0.4279820458141294
Andhra Pradesh,RCPLWEA,26,340.896,10,249.85163,17,213.208,7,157.9498,9,123.276,3,0.7329262590350136,0.6254341500046935,0.7,0.7408249221417583
Andhra Pradesh,PMGSY-III,27,183.925,2,105.33909,15,93.242,1,49.8617,12,87.78,1,0.5727285034660867,0.506956639934756,0.5,0.5347557967439566
Andhra Pradesh,PM-JANMAN,11,29.48,0,93.0606,0,0.0,0,0.0,11,29.48,0,3.156736770691994,0.0,0.0,0.0
Andhra Pradesh,PMGSY-I,329,996.013,13,236.5601,329,1000.144,13,242.894,0,0.0,0,0.2375070405707556,1.0041475362269368,1.0,0.2428590282999248
Andhra Pradesh,PMGSY-II,13,141.44,1,78.0672,13,141.428,1,69.7068,0,0.0,0,0.5519457013574661,0.9999151583710407,1.0,0.49287835506406086
Andhra Pradesh,PMGSY-III,34,223.804,10,246.73719,17,104.817,0,67.7782,17,115.164,10,1.1024699737270112,0.46834283569551927,0.0,0.6466336567541525
Andhra Pradesh,PMGSY-I,286,689.37,9,157.6581,286,671.76,9,155.7358,0,0.0,0,0.22869881195874492,0.9744549371164977,1.0,0.23183249970227465
Andhra Pradesh,PMGSY-II,14,112.79,0,74.989,14,110.499,0,64.8999,0,0.0,0,0.6648550403404557,0.9796879155953541,0.0,0.5873347270111042
Andhra Pradesh,PMGSY-III,28,174.92,10,170.50895,11,80.703,0,49.6143,17,90.375,10,0.9747824719871943,0.46137091241710504,0.0,0.6147764023642244
Andhra Pradesh,PMGSY-I,253,840.09,36,230.0254,253,785.4,36,180.9049,0,0.0,0,0.273810425073504,0.9348998321608398,1.0,0.23033473389355744
Andhra Pradesh,PMGSY-II,14,120.59,1,61.1501,14,118.643,1,55.6977,0,0.0,0,0.5070909694004478,0.9838543826187909,1.0,0.4694562679635545
Andhra Pradesh,PMGSY-III,23,216.543,3,134.5823,19,173.057,1,96.2975,4,34.12,2,0.6215038121758727,0.7991807631740577,0.3333333333333333,0.5564496090883351
Andhra Pradesh,PM-JANMAN,1,7.11,0,93.0606,0,0.0,0,0.0,1,7.11,0,13.088691983122361,0.0,0.0,0.0
Andhra Pradesh,PMGSY-I,241,854.399,41,224.9583,241,815.363,41,211.991,0,0.0,0,0.26329419861212383,0.954311744278727,1.0,0.2599958546070891
Andhra Pradesh,PMGSY-II,8,72.4,0,38.916,8,66.902,0,30.7229,0,0.0,0,0.5375138121546961,0.924060773480663,0.0,0.459222444769962
Andhra Pradesh,PMGSY-III,21,199.53,3,145.44364,13,108.534,0,65.1818,8,86.559,3,0.7289311882924873,0.5439482784543678,0.0,0.6005657213407779
Andhra Pradesh,PMGSY-I,231,986.07,45,311.795,231,946.537,45,302.8168,0,0.0,0,0.31619966128165344,0.959908525763891,1.0,0.31992072153544976
Andhra Pradesh,PMGSY-II,15,102.454,0,51.0679,15,98.705,0,44.7678,0,0.0,0,0.49844710797040626,0.9634079684541356,0.0,0.4535514918190568
Andhra Pradesh,PMGSY-III,22,198.229,4,139.38,17,149.047,0,82.4026,5,45.02,4,0.703126182344662,0.7518930126268103,0.0,0.5528631908055849
Andhra Pradesh,PMGSY-I,272,754.95,8,168.6459,272,751.936,8,165.3012,0,0.0,0,0.2233868468110471,0.9960076826279886,1.0,0.21983413481998465
Andhra Pradesh,PMGSY-II,10,85.49,0,42.3294,10,81.094,0,32.2526,0,0.0,0,0.49513861270324017,0.9485787811439934,0.0,0.3977186968209732
